question_id,question,top1_score,margin,rag_acc
133629006,What color is the lampshade?,0.8375,0.0,1.0
133629007,What type of computer is on the desk?,0.8375,0.0,1.0
133631000,"Which is longer, the Elephant's tusks or the Elephant's trunk?",0.9014,0.0,1.0
133631001,Is it sunny out?,0.9014,0.0,0.0
133631002,Does the elephant need water?,0.9014,0.0,1.0
2562000,What is the color scheme of the photo?,0.8035,0.0,0.6666666666666666
2562001,Are all the men tennis players?,0.8035,0.0,1.0
2562002,Is the man wearing a wristband?,0.8035,0.0,0.0
2562003,What two brands are shown advertised behind the tennis player?,0.8035,0.0,0.0
2562004,What sport is being played?,0.8035,0.0,1.0
133636000,What is the number on the left parking meter?,0.719,0.0,0.0
133636001,How much time is left?,0.719,0.0,0.0
133636002,What number is the parking meter on the right?,0.719,0.0,0.0
133636003,Is there any cars on the street?,0.719,0.0,1.0
133636004,Are the meters rusted?,0.719,0.0,1.0
133636005,Is there time remaining on the meter?,0.719,0.0,1.0
133636006,How many meters are there?,0.719,0.0,1.0
133645000,Is there someone on the bench?,0.7431,0.0,1.0
133645001,Are the street lights turned on?,0.7431,0.0,1.0
133645002,Is the water clear?,0.7431,0.0,1.0
133645003,What type of boat is in the water?,0.7431,0.0,0.0
264718000,How long is the parking on the street?,0.81,0.0,0.6666666666666666
264718001,Do you have to pay to park here?,0.81,0.0,1.0
264718002,Which side of the sign is the road on?,0.81,0.0,1.0
264718003,What does the sign read?,0.81,0.0,0.0
264718004,What does the sign say?,0.81,0.0,0.0
264718005,What phone number is on the sign?,0.81,0.0,0.0
264718006,What modes of transportation are in the picture?,0.81,0.0,1.0
264718007,What sign is to the right of the photo?,0.81,0.0,0.0
133648000,Is the bat blue?,0.8378,0.0,1.0
133648001,Is the photo colored?,0.8378,0.0,1.0
133648002,What color is the home plate umpire's shirt?,0.8378,0.0,0.0
133648003,Which game are they playing?,0.8378,0.0,0.0
459182000,What are they carrying?,0.8438,0.0,1.0
459182001,What is in the foreground?,0.8438,0.0,1.0
459182002,How many people are there?,0.8438,0.0,0.0
395801000,Is it morning or evening?,0.6964,0.0,1.0
395801001,How much does parking in the lot cost?,0.6964,0.0,0.0
395801002,What is on the road?,0.6964,0.0,0.3333333333333333
395801003,How many people are in the picture?,0.6964,0.0,0.0
395801004,Do the people know each other?,0.6964,0.0,0.0
395801005,How could you carry things if you were riding this bike?,0.6964,0.0,0.0
395801006,How many people are in this scene?,0.6964,0.0,0.0
395801007,What time is it?,0.6964,0.0,0.0
264730000,How many arches are under the clock?,0.774,0.0,0.0
264730001,What time is it?,0.774,0.0,0.0
264730002,Is a daytime or nighttime scene depicted?,0.774,0.0,0.0
264730003,What kind of numbers are on the clock?,0.774,0.0,0.0
2587000,Which food contains the most potassium?,0.8035,0.0,0.0
2587001,What is not healthy in the baggie?,0.8035,0.0,0.0
