question_id,image_id,question,ground_truth,retrieved_answers,retrieved_scores,oracle@1,oracle@3,oracle@5,oracle@10
262148000,262148,Where is he looking?,down,picnic table | down | watching | not hard | no | yes | black | rail | no | yes,1.0000 | 1.0000 | 1.0000 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487,0.0,1.0,1.0,1.0
262162000,262162,Is that a folding chair?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162001,262162,How many beds?,1,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262162002,262162,What color is the bedspread?,white,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,0.0
262162003,262162,How many pictures are there?,7,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162004,262162,Are these twin mattresses?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162005,262162,How many sources of light are there?,1,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262162006,262162,Is this room decorated for the 1970s?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162007,262162,Are the lights on in this room?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162008,262162,Are the windows big?,yes,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.3333333333333333,0.3333333333333333
262162009,262162,What is the chair made of?,leather,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,1.0,1.0,1.0,1.0
262162010,262162,Is this room in someone's home?,yes,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,0.0
262162011,262162,Which room is this?,bedroom,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,1.0,1.0,1.0
262162012,262162,Is the bed white?,yes,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162013,262162,Could this be a hotel room?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162014,262162,Is the bed made?,yes,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.6666666666666666,0.6666666666666666
262162015,262162,Are there bed headboards present in the photo?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162016,262162,Is there a mirror in the room?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162017,262162,What kind of room is this?,bedroom,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,1.0,1.0,1.0
262162018,262162,How many chairs are in the photo?,1,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262162019,262162,Is the desk cluttered?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162020,262162,Has the bed been made?,yes,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162021,262162,How many seats are there?,1,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262162022,262162,How many frames are on the wall?,7,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162023,262162,What color are the walls?,white,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,0.0
262162024,262162,Are there any boxes in the room?,no,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262162025,262162,Could this be a multi-purpose room?,yes,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,0.0
262162026,262162,What animal print does that chair resemble?,none,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
262162027,262162,What is behind the foot of the bed?,chair,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,1.0,1.0,1.0
262162028,262162,What is the size of the bed?,queen,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,0.0
262162029,262162,How many pictures on the wall?,7,leather | bedroom | chair | 7 | no | 1 | 7 | no | 1 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
393243000,393243,Will this kid leave the powdered sugar on his face?,yes,no | yes | donut | blonde | yes | yes | frog | fork | cake | plastic,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7833 | 0.7833 | 0.7833 | 0.7699 | 0.7699 | 0.7699,1.0,1.0,1.0,1.0
393243001,393243,What is the child eating?,donut,no | yes | donut | blonde | yes | yes | frog | fork | cake | plastic,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7833 | 0.7833 | 0.7833 | 0.7699 | 0.7699 | 0.7699,0.0,1.0,1.0,1.0
393243002,393243,Is this person wearing a tie?,no,no | yes | donut | blonde | yes | yes | frog | fork | cake | plastic,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7833 | 0.7833 | 0.7833 | 0.7699 | 0.7699 | 0.7699,1.0,1.0,1.0,1.0
393243003,393243,What color is the kids hair?,blonde,no | yes | donut | blonde | yes | yes | frog | fork | cake | plastic,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7833 | 0.7833 | 0.7833 | 0.7699 | 0.7699 | 0.7699,0.0,0.0,1.0,1.0
262175000,262175,Is the man's tie purple?,no,hat | forest | no | no | fire hydrant | brown | for when it snows | no | yes | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6692 | 0.6692 | 0.6692 | 0.6692 | 0.6460 | 0.6460,0.0,1.0,1.0,1.0
262175001,262175,Where was the picture taken of the man?,forest,hat | forest | no | no | fire hydrant | brown | for when it snows | no | yes | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6692 | 0.6692 | 0.6692 | 0.6692 | 0.6460 | 0.6460,0.0,1.0,1.0,1.0
262175002,262175,What is the man wearing on his head?,hat,hat | forest | no | no | fire hydrant | brown | for when it snows | no | yes | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6692 | 0.6692 | 0.6692 | 0.6692 | 0.6460 | 0.6460,1.0,1.0,1.0,1.0
262175003,262175,Is this a designer tie?,no,hat | forest | no | no | fire hydrant | brown | for when it snows | no | yes | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6692 | 0.6692 | 0.6692 | 0.6692 | 0.6460 | 0.6460,0.0,1.0,1.0,1.0
131108000,131108,Is this photo color?,no,no | yes | inward | red and yellow | no | green | overcast | no | yes | 3,1.0000 | 1.0000 | 1.0000 | 0.7030 | 0.7030 | 0.7030 | 0.6969 | 0.6969 | 0.6969 | 0.6877,1.0,1.0,1.0,1.0
131108001,131108,Does the door open inward or outward?,inward,no | yes | inward | red and yellow | no | green | overcast | no | yes | 3,1.0000 | 1.0000 | 1.0000 | 0.7030 | 0.7030 | 0.7030 | 0.6969 | 0.6969 | 0.6969 | 0.6877,0.0,1.0,1.0,1.0
131108002,131108,Is there a drainage in the pic?,yes,no | yes | inward | red and yellow | no | green | overcast | no | yes | 3,1.0000 | 1.0000 | 1.0000 | 0.7030 | 0.7030 | 0.7030 | 0.6969 | 0.6969 | 0.6969 | 0.6877,0.0,1.0,1.0,1.0
393254000,393254,What does the sentence on the top say?,this is camping,this is camping | jeep | woods | 2 | yes | shoes | yes | 6 | wood | no,1.0000 | 1.0000 | 1.0000 | 0.6647 | 0.6647 | 0.6647 | 0.6258 | 0.6258 | 0.6258 | 0.6094,1.0,1.0,1.0,1.0
393254001,393254,What kind of vehicle is the RV pulling on the bottom picture?,jeep,this is camping | jeep | woods | 2 | yes | shoes | yes | 6 | wood | no,1.0000 | 1.0000 | 1.0000 | 0.6647 | 0.6647 | 0.6647 | 0.6258 | 0.6258 | 0.6258 | 0.6094,0.0,1.0,1.0,1.0
393254002,393254,Where is the camping tent?,woods,this is camping | jeep | woods | 2 | yes | shoes | yes | 6 | wood | no,1.0000 | 1.0000 | 1.0000 | 0.6647 | 0.6647 | 0.6647 | 0.6258 | 0.6258 | 0.6258 | 0.6094,0.0,1.0,1.0,1.0
42000,42,What color are the gym shoes?,white,white | yes | red | no | yes | cushion | no | tired one | black | yes,1.0000 | 1.0000 | 1.0000 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723,1.0,1.0,1.0,1.0
42001,42,Is there a red sandal here?,yes,white | yes | red | no | yes | cushion | no | tired one | black | yes,1.0000 | 1.0000 | 1.0000 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723,0.0,1.0,1.0,1.0
42002,42,What color is the flip flop?,red,white | yes | red | no | yes | cushion | no | tired one | black | yes,1.0000 | 1.0000 | 1.0000 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723 | 0.7723,0.0,1.0,1.0,1.0
131115000,131115,Are there players in the dugout?,yes,no | yes | 3 | 23 | white | catch | no | playing baseball | bat | yes,1.0000 | 1.0000 | 1.0000 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627,0.0,1.0,1.0,1.0
131115001,131115,Is the battery looking at the ball?,no,no | yes | 3 | 23 | white | catch | no | playing baseball | bat | yes,1.0000 | 1.0000 | 1.0000 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627,1.0,1.0,1.0,1.0
131115002,131115,How many people are on the field?,3,no | yes | 3 | 23 | white | catch | no | playing baseball | bat | yes,1.0000 | 1.0000 | 1.0000 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627 | 0.8627,0.0,1.0,1.0,1.0
262189000,262189,How many signs?,4,4 | white | ross st | go right | england | yes | scott wells | 300 | scott wells | scott wells,1.0000 | 1.0000 | 1.0000 | 0.5210 | 0.5210 | 0.5210 | 0.5174 | 0.5174 | 0.5174 | 0.5174,1.0,1.0,1.0,1.0
262189001,262189,What color is the Salisbury Rd. sign?,white,4 | white | ross st | go right | england | yes | scott wells | 300 | scott wells | scott wells,1.0000 | 1.0000 | 1.0000 | 0.5210 | 0.5210 | 0.5210 | 0.5174 | 0.5174 | 0.5174 | 0.5174,0.0,1.0,1.0,1.0
262189002,262189,What does the last sign say?,ross st,4 | white | ross st | go right | england | yes | scott wells | 300 | scott wells | scott wells,1.0000 | 1.0000 | 1.0000 | 0.5210 | 0.5210 | 0.5210 | 0.5174 | 0.5174 | 0.5174 | 0.5174,0.0,1.0,1.0,1.0
393266000,393266,What color is the sign?,red and yellow,red and yellow | no | green | go right | england | yes | yes | 2 | 2 stories | 4:40,1.0000 | 1.0000 | 1.0000 | 0.7324 | 0.7324 | 0.7324 | 0.7137 | 0.7137 | 0.7137 | 0.7137,1.0,1.0,1.0,1.0
393266001,393266,Can you turn right or left in the tunnel?,no,red and yellow | no | green | go right | england | yes | yes | 2 | 2 stories | 4:40,1.0000 | 1.0000 | 1.0000 | 0.7324 | 0.7324 | 0.7324 | 0.7137 | 0.7137 | 0.7137 | 0.7137,0.0,1.0,1.0,1.0
393266002,393266,What color is the plant?,green,red and yellow | no | green | go right | england | yes | yes | 2 | 2 stories | 4:40,1.0000 | 1.0000 | 1.0000 | 0.7324 | 0.7324 | 0.7324 | 0.7137 | 0.7137 | 0.7137 | 0.7137,0.0,1.0,1.0,1.0
393267000,393267,What color is the woman's shirt on the left?,black,wine | black | they aren't | wine tasting | yes | shirts | m | white | plastic | yes,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7147 | 0.7147 | 0.7147 | 0.7147 | 0.6818 | 0.6818,0.0,1.0,1.0,1.0
393267001,393267,What type of beverage is being displayed?,wine,wine | black | they aren't | wine tasting | yes | shirts | m | white | plastic | yes,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7147 | 0.7147 | 0.7147 | 0.7147 | 0.6818 | 0.6818,1.0,1.0,1.0,1.0
393267002,393267,Why are some people wearing hats?,they aren't,wine | black | they aren't | wine tasting | yes | shirts | m | white | plastic | yes,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7147 | 0.7147 | 0.7147 | 0.7147 | 0.6818 | 0.6818,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
393267003,393267,What kind of event are the people involved in?,wine tasting,wine | black | they aren't | wine tasting | yes | shirts | m | white | plastic | yes,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.7147 | 0.7147 | 0.7147 | 0.7147 | 0.6818 | 0.6818,0.6666666666666666,0.6666666666666666,1.0,1.0
262197000,262197,How many skyscrapers are there?,2,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,1.0,1.0
262197001,262197,What is the color of the building in the background?,brown,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,1.0,1.0,1.0,1.0
262197002,262197,Is there a tree in front of the building?,yes,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,1.0,1.0,1.0
262197003,262197,Is there a person riding a bike?,no,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262197004,262197,Are there lights on in the two buildings?,yes,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,1.0,1.0,1.0
262197005,262197,How many stories is the building on the left?,3,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262197006,262197,Is this a hospital?,yes,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,1.0,1.0,1.0
262197007,262197,How many umbrellas do you see?,0,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262197008,262197,How many colors is the building on the right painted?,1,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.3333333333333333,0.3333333333333333,1.0,1.0
262197009,262197,What is on the boy's back walking?,backpack,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.0,1.0
262197010,262197,How many modes of transportation are depicted?,0,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,0.0,0.0,0.3333333333333333,1.0
262197011,262197,What color is the building?,brown,brown | yes | yes | yes | 2 | no | 3 | 0 | 1 | backpack,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,1.0,1.0,1.0,1.0
393271000,393271,Is it still snowing in the picture?,yes,yes | yes | 8 | girl | skis | skiing | above | black | warmth | yes,1.0000 | 1.0000 | 1.0000 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539,1.0,1.0,1.0,1.0
393271001,393271,Does this appear to be a photo of multiple exposures of the black clad snowboarder?,yes,yes | yes | 8 | girl | skis | skiing | above | black | warmth | yes,1.0000 | 1.0000 | 1.0000 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539,1.0,1.0,1.0,1.0
393271002,393271,How many people can you see in the picture?,8,yes | yes | 8 | girl | skis | skiing | above | black | warmth | yes,1.0000 | 1.0000 | 1.0000 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539 | 0.7539,0.0,1.0,1.0,1.0
262200000,262200,Is this an adult party?,no,birthday | boy | no | green | boy's | children | no | donut | blonde | yes,1.0000 | 1.0000 | 1.0000 | 0.6851 | 0.6851 | 0.6851 | 0.6803 | 0.6803 | 0.6803 | 0.6803,0.0,1.0,1.0,1.0
262200001,262200,What is being celebrated?,birthday,birthday | boy | no | green | boy's | children | no | donut | blonde | yes,1.0000 | 1.0000 | 1.0000 | 0.6851 | 0.6851 | 0.6851 | 0.6803 | 0.6803 | 0.6803 | 0.6803,1.0,1.0,1.0,1.0
262200002,262200,Who is in front of the cake with candles?,boy,birthday | boy | no | green | boy's | children | no | donut | blonde | yes,1.0000 | 1.0000 | 1.0000 | 0.6851 | 0.6851 | 0.6851 | 0.6803 | 0.6803 | 0.6803 | 0.6803,0.0,1.0,1.0,1.0
393274000,393274,What is this vehicle?,train,platform | yes | yes | train | no | shadow | no | yes | 58872 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9007 | 0.9007,0.0,0.3333333333333333,1.0,1.0
393274001,393274,Can you see the hook up for the train?,no,platform | yes | yes | train | no | shadow | no | yes | 58872 | no,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9007 | 0.9007,0.0,0.6666666666666666,1.0,1.0
