template_name,question_id,image_id,question,ground_truth,prediction,vqa_score,prompt,retrieved_questions,retrieved_answers,candidate_answers,best_question_matched_answer,best_question_match_score,prompt_chars
current_prompt,395752003,395752,What color are the hubcaps?,red|red|red,red,1.0,"Q: Which route is the red bus running? A: special
Q: How many levels is the bus? A: 1
Q: Does the train carry passengers? A: yes
Q: What color are the hubcaps? A:",Which route is the red bus running? || How many levels is the bus? || Does the train carry passengers?,special || 1 || yes,"special, 1, yes",special,0.0,162
current_prompt,395752004,395752,Is someone getting on this street car?,yes|yes|yes,yes,1.0,"Q: Which route is the red bus running? A: special
Q: How many levels is the bus? A: 1
Q: Does the train carry passengers? A: yes
Q: Is someone getting on this street car? A:",Which route is the red bus running? || How many levels is the bus? || Does the train carry passengers?,special || 1 || yes,"special, 1, yes",special,0.0,173
current_prompt,264683000,264683,Is this airplane inside?,yes|yes|yes,yes,1.0,"Q: What is hanging? A: planes
Q: What is the ID number of the plane? A: 0230
Q: What number is on the side? A: 23
Q: Is this airplane inside? A:",What is hanging? || What is the ID number of the plane? || What number is on the side?,planes || 0230 || 23,"planes, 0230, 23",planes,0.0,144
current_prompt,264683001,264683,What airline does the plane fly for?,air france|air france|air france,Air France,1.0,"Q: What is hanging? A: planes
Q: What is the ID number of the plane? A: 0230
Q: What number is on the side? A: 23
Q: What airline does the plane fly for? A:",What is hanging? || What is the ID number of the plane? || What number is on the side?,planes || 0230 || 23,"planes, 0230, 23",0230,0.2,156
current_prompt,264683002,264683,Are there planes hanging?,yes|yes|yes,yes,1.0,"Q: What is hanging? A: planes
Q: What is the ID number of the plane? A: 0230
Q: What number is on the side? A: 23
Q: Are there planes hanging? A:",What is hanging? || What is the ID number of the plane? || What number is on the side?,planes || 0230 || 23,"planes, 0230, 23",planes,0.5,145
current_prompt,264686000,264686,How many side tables are there?,2|2|2,2,1.0,"Q: What light source is here? A: sun
Q: Is there a Turkish style rug on the floor? A: no
Q: Is the room messy? A: no
Q: How many side tables are there? A:",What light source is here? || Is there a Turkish style rug on the floor? || Is the room messy?,sun || no || no,"sun, no",sun,0.0,154
current_prompt,264686001,264686,How many windows are on the wall?,3|3|3,3,1.0,"Q: What light source is here? A: sun
Q: Is there a Turkish style rug on the floor? A: no
Q: Is the room messy? A: no
Q: How many windows are on the wall? A:",What light source is here? || Is there a Turkish style rug on the floor? || Is the room messy?,sun || no || no,"sun, no",sun,0.0,156
current_prompt,264686002,264686,Is the TV a tube or flat screen?,tube|tube|tube,flat screen,0.0,"Q: What light source is here? A: sun
Q: Is there a Turkish style rug on the floor? A: no
Q: Is the room messy? A: no
Q: Is the TV a tube or flat screen? A:",What light source is here? || Is there a Turkish style rug on the floor? || Is the room messy?,sun || no || no,"sun, no",sun,0.0,155
current_prompt,133619000,133619,What type of truck is it?,fire engine|fire truck|service truck,fire truck,1.0,"Q: Do you see a firefighter in the picture? A: no
Q: Is this a fire truck? A: yes
Q: How many headlights are on the truck? A: 8
Q: What type of truck is it? A:",Do you see a firefighter in the picture? || Is this a fire truck? || How many headlights are on the truck?,no || yes || 8,"no, yes, 8",yes,0.3333,159
current_prompt,133619001,133619,What time of day is it?,night|night|night,night,1.0,"Q: Do you see a firefighter in the picture? A: no
Q: Is this a fire truck? A: yes
Q: How many headlights are on the truck? A: 8
Q: What time of day is it? A:",Do you see a firefighter in the picture? || Is this a fire truck? || How many headlights are on the truck?,no || yes || 8,"no, yes, 8",no,0.0,157
current_prompt,133619002,133619,What color is the light above the hood of the truck?,yellow|blue|blue,red,0.0,"Q: Do you see a firefighter in the picture? A: no
Q: Is this a fire truck? A: yes
Q: How many headlights are on the truck? A: 8
Q: What color is the light above the hood of the truck? A:",Do you see a firefighter in the picture? || Is this a fire truck? || How many headlights are on the truck?,no || yes || 8,"no, yes, 8",yes,0.1667,186
current_prompt,133620000,133620,Why does the woman have her hair up?,uniform|on duty|uniform,to keep it out of her face,0.0,"Q: What color is the boys sweatshirt? A: blue
Q: Does she have a wrist watch? A: yes
Q: What is the woman reading? A: book
Q: Why does the woman have her hair up? A:",What color is the boys sweatshirt? || Does she have a wrist watch? || What is the woman reading?,blue || yes || book,"blue, yes, book",book,0.2,165
current_prompt,133620001,133620,Is she wearing glasses?,yes|yes|yes,yes,1.0,"Q: What color is the boys sweatshirt? A: blue
Q: Does she have a wrist watch? A: yes
Q: What is the woman reading? A: book
Q: Is she wearing glasses? A:",What color is the boys sweatshirt? || Does she have a wrist watch? || What is the woman reading?,blue || yes || book,"blue, yes, book",yes,0.2,152
current_prompt,133620002,133620,What is she wearing on her head?,hat|helmet|hat,hat,1.0,"Q: What color is the boys sweatshirt? A: blue
Q: Does she have a wrist watch? A: yes
Q: What is the woman reading? A: book
Q: What is she wearing on her head? A:",What color is the boys sweatshirt? || Does she have a wrist watch? || What is the woman reading?,blue || yes || book,"blue, yes, book",yes,0.1667,161
current_prompt,133620003,133620,Is the woman happy?,yes|yes|yes,yes,1.0,"Q: What color is the boys sweatshirt? A: blue
Q: Does she have a wrist watch? A: yes
Q: What is the woman reading? A: book
Q: Is the woman happy? A:",What color is the boys sweatshirt? || Does she have a wrist watch? || What is the woman reading?,blue || yes || book,"blue, yes, book",book,0.3333,148
current_prompt,526837000,526837,Is this man dressed for the weather?,yes|yes|yes,yes,1.0,"Q: What are the long sticks under the person's feet? A: skis
Q: Is this a winter landscape? A: yes
Q: Is it cold? A: yes
Q: Is this man dressed for the weather? A:",What are the long sticks under the person's feet? || Is this a winter landscape? || Is it cold?,skis || yes || yes,"skis, yes",skis,0.0,163
current_prompt,526837001,526837,What is this man holding?,ski pole|ski poles|poles,skis,0.3333,"Q: What are the long sticks under the person's feet? A: skis
Q: Is this a winter landscape? A: yes
Q: Is it cold? A: yes
Q: What is this man holding? A:",What are the long sticks under the person's feet? || Is this a winter landscape? || Is it cold?,skis || yes || yes,"skis, yes",skis,0.0,152
current_prompt,526837002,526837,What is covering the ground?,snow|snow|snow,snow,1.0,"Q: What are the long sticks under the person's feet? A: skis
Q: Is this a winter landscape? A: yes
Q: Is it cold? A: yes
Q: What is covering the ground? A:",What are the long sticks under the person's feet? || Is this a winter landscape? || Is it cold?,skis || yes || yes,"skis, yes",skis,0.0,155
current_prompt,133622000,133622,Are these vegetables or fruits?,vegetables|vegetables|vegetables,vegetables,1.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: Are these vegetables or fruits? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,154
current_prompt,133622001,133622,What is the yellow topping?,cheese|glaze|cheese,cheese,1.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: What is the yellow topping? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,150
current_prompt,133622002,133622,Is this a high class dish?,yes|yes|no,no,1.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: Is this a high class dish? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,149
current_prompt,133622003,133622,What is the long thin food with seeds?,broccoli|cake|cheese,broccoli,1.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: What is the long thin food with seeds? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,161
current_prompt,133622004,133622,What is the green topping?,broccoli|broccoli|broccoli,broccoli,1.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: What is the green topping? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,149
current_prompt,133622005,133622,What is the yellow item pictured?,cheese|cake|cheese,broccoli,0.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: What is the yellow item pictured? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,156
current_prompt,133622006,133622,How are the eggs cooked?,scrambled|scramble|omelet,poached,0.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: How are the eggs cooked? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,147
current_prompt,133622007,133622,What vegetable is this?,broccoli|broccoli|broccoli,broccoli,1.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: What vegetable is this? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",cod,0.0,146
current_prompt,133622008,133622,What kinds of food are on the plate?,"breakfast|spinach|eggs, spinach",broccoli and cheese,0.0,"Q: What kind of fish is in the image? A: cod
Q: What color is the plate? A: white
Q: Is this a balanced meal? A: yes
Q: What kinds of food are on the plate? A:",What kind of fish is in the image? || What color is the plate? || Is this a balanced meal?,cod || white || yes,"cod, white, yes",white,0.25,159
current_prompt,22271000,22271,Is this a bright and sunny day?,no|no|no,yes,0.0,"Q: What color is the fence? A: orange
Q: Where is the hydrant? A: sidewalk
Q: Why was the train running behind? A: unknown
Q: Is this a bright and sunny day? A:",What color is the fence? || Where is the hydrant? || Why was the train running behind?,orange || sidewalk || unknown,"orange, sidewalk, unknown",orange,0.0,160
current_prompt,22271001,22271,Are there people in the picture?,yes|yes|yes,yes,1.0,"Q: What color is the fence? A: orange
Q: Where is the hydrant? A: sidewalk
Q: Why was the train running behind? A: unknown
Q: Are there people in the picture? A:",What color is the fence? || Where is the hydrant? || Why was the train running behind?,orange || sidewalk || unknown,"orange, sidewalk, unknown",orange,0.0,161
current_prompt,22271002,22271,What is the name of the street sign on the ground?,western ave|western ave|western ave,western,1.0,"Q: What color is the fence? A: orange
Q: Where is the hydrant? A: sidewalk
Q: Why was the train running behind? A: unknown
Q: What is the name of the street sign on the ground? A:",What color is the fence? || Where is the hydrant? || Why was the train running behind?,orange || sidewalk || unknown,"orange, sidewalk, unknown",orange,0.0,179
current_prompt,133629000,133629,Is this a public place?,no|no|no,no,1.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: Is this a public place? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.0,160
current_prompt,133629001,133629,What color is the desk?,brown|brown|brown,brown,1.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: What color is the desk? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.3333,160
current_prompt,133629002,133629,How many chairs have wheels?,1|1|1,3,0.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: How many chairs have wheels? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.0,165
current_prompt,133629003,133629,Is this chair in the way of people who might walk through?,no|no|no,no,1.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: Is this chair in the way of people who might walk through? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.1429,195
current_prompt,133629004,133629,Can these items be used to make food?,no|no|no,yes,0.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: Can these items be used to make food? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.0,174
current_prompt,133629005,133629,What do people do here?,work|work|office work,work,1.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: What do people do here? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.0,160
current_prompt,133629006,133629,What color is the lampshade?,off white|white|white,purple,0.0,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: What color is the lampshade? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",purple,0.3333,165
current_prompt,133629007,133629,What type of computer is on the desk?,mac|laptop|laptop,apple,0.6667,"Q: What color is the chair? A: purple
Q: What type of computer is on the desk? A: apple
Q: Is there an iPhone on the table? A: yes
Q: What type of computer is on the desk? A:",What color is the chair? || What type of computer is on the desk? || Is there an iPhone on the table?,purple || apple || yes,"purple, apple, yes",apple,1.0,174
current_prompt,133631000,133631,"Which is longer, the Elephant's tusks or the Elephant's trunk?",trunk|trunk|trunk,trunk,1.0,"Q: How many elephants are there? A: 1
Q: Are the elephants drinking water? A: no
Q: Has the elephant relieved itself recently? A: yes
Q: Which is longer, the Elephant's tusks or the Elephant's trunk? A:",How many elephants are there? || Are the elephants drinking water? || Has the elephant relieved itself recently?,1 || no || yes,"1, no, yes",yes,0.1,202
current_prompt,133631001,133631,Is it sunny out?,yes|yes|yes,yes,1.0,"Q: How many elephants are there? A: 1
Q: Are the elephants drinking water? A: no
Q: Has the elephant relieved itself recently? A: yes
Q: Is it sunny out? A:",How many elephants are there? || Are the elephants drinking water? || Has the elephant relieved itself recently?,1 || no || yes,"1, no, yes",1,0.0,156
current_prompt,133631002,133631,Does the elephant need water?,yes|yes|yes,yes,1.0,"Q: How many elephants are there? A: 1
Q: Are the elephants drinking water? A: no
Q: Has the elephant relieved itself recently? A: yes
Q: Does the elephant need water? A:",How many elephants are there? || Are the elephants drinking water? || Has the elephant relieved itself recently?,1 || no || yes,"1, no, yes",no,0.2,169
current_prompt,2562000,2562,What is the color scheme of the photo?,"white|white and blue|white, blue",blue,0.6667,"Q: What color is the woman's outfit? A: black
Q: What sport is the man most likely playing? A: tennis
Q: How many feet can be seen in this photo? A: 2
Q: What is the color scheme of the photo? A:",What color is the woman's outfit? || What sport is the man most likely playing? || How many feet can be seen in this photo?,black || tennis || 2,"black, tennis, 2",black,0.1667,195
current_prompt,2562001,2562,Are all the men tennis players?,yes|no|no,yes,1.0,"Q: What color is the woman's outfit? A: black
Q: What sport is the man most likely playing? A: tennis
Q: How many feet can be seen in this photo? A: 2
Q: Are all the men tennis players? A:",What color is the woman's outfit? || What sport is the man most likely playing? || How many feet can be seen in this photo?,black || tennis || 2,"black, tennis, 2",black,0.0,188
current_prompt,2562002,2562,Is the man wearing a wristband?,yes|yes|yes,yes,1.0,"Q: What color is the woman's outfit? A: black
Q: What sport is the man most likely playing? A: tennis
Q: How many feet can be seen in this photo? A: 2
Q: Is the man wearing a wristband? A:",What color is the woman's outfit? || What sport is the man most likely playing? || How many feet can be seen in this photo?,black || tennis || 2,"black, tennis, 2",tennis,0.1429,188
current_prompt,2562003,2562,What two brands are shown advertised behind the tennis player?,olympus and wta|olympus and wta|wta and olympus,Nike and Wilson,0.0,"Q: What color is the woman's outfit? A: black
Q: What sport is the man most likely playing? A: tennis
Q: How many feet can be seen in this photo? A: 2
Q: What two brands are shown advertised behind the tennis player? A:",What color is the woman's outfit? || What sport is the man most likely playing? || How many feet can be seen in this photo?,black || tennis || 2,"black, tennis, 2",black,0.0,219
current_prompt,2562004,2562,What sport is being played?,tennis|tennis|tennis,tennis,1.0,"Q: What color is the woman's outfit? A: black
Q: What sport is the man most likely playing? A: tennis
Q: How many feet can be seen in this photo? A: 2
Q: What sport is being played? A:",What color is the woman's outfit? || What sport is the man most likely playing? || How many feet can be seen in this photo?,black || tennis || 2,"black, tennis, 2",tennis,0.1429,184
current_prompt,133636000,133636,What is the number on the left parking meter?,12|12|19,1-2-3,0.0,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: What is the number on the left parking meter? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",9-6 m-f,0.2,171
current_prompt,133636001,133636,How much time is left?,0 time|expired|0,30 minutes,0.0,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: How much time is left? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",parking meter,0.0,148
current_prompt,133636002,133636,What number is the parking meter on the right?,13|13|13,2,0.0,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: What number is the parking meter on the right? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",9-6 m-f,0.2,172
current_prompt,133636003,133636,Is there any cars on the street?,no|no|0,yes,0.0,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: Is there any cars on the street? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",parking meter,0.0,158
current_prompt,133636004,133636,Are the meters rusted?,no|no|no,no,1.0,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: Are the meters rusted? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",parking meter,0.0,148
current_prompt,133636005,133636,Is there time remaining on the meter?,yes|yes|no,yes,0.6667,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: Is there time remaining on the meter? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",9-6 m-f,0.25,163
current_prompt,133636006,133636,How many meters are there?,2|2|2,2,1.0,"Q: What is this a picture of? A: parking meter
Q: When is the meter enforced? A: 9-6 m-f
Q: Does the meter work? A: yes
Q: How many meters are there? A:",What is this a picture of? || When is the meter enforced? || Does the meter work?,parking meter || 9-6 m-f || yes,"parking meter, 9-6 m-f, yes",parking meter,0.0,152
current_prompt,133645000,133645,Is there someone on the bench?,no|no|no,no,1.0,"Q: What color is the two-story house? A: blue
Q: What number of boats are in this harbor? A: 25
Q: Where is word empty? A: boat
Q: Is there someone on the bench? A:",What color is the two-story house? || What number of boats are in this harbor? || Where is word empty?,blue || 25 || boat,"blue, 25, boat",blue,0.0,164
current_prompt,133645001,133645,Are the street lights turned on?,yes|yes|yes,yes,1.0,"Q: What color is the two-story house? A: blue
Q: What number of boats are in this harbor? A: 25
Q: Where is word empty? A: boat
Q: Are the street lights turned on? A:",What color is the two-story house? || What number of boats are in this harbor? || Where is word empty?,blue || 25 || boat,"blue, 25, boat",blue,0.0,166
current_prompt,133645002,133645,Is the water clear?,no|yes|yes,yes,1.0,"Q: What color is the two-story house? A: blue
Q: What number of boats are in this harbor? A: 25
Q: Where is word empty? A: boat
Q: Is the water clear? A:",What color is the two-story house? || What number of boats are in this harbor? || Where is word empty?,blue || 25 || boat,"blue, 25, boat",blue,0.0,153
current_prompt,133645003,133645,What type of boat is in the water?,private|sailboat|pontoon,boat,0.0,"Q: What color is the two-story house? A: blue
Q: What number of boats are in this harbor? A: 25
Q: Where is word empty? A: boat
Q: What type of boat is in the water? A:",What color is the two-story house? || What number of boats are in this harbor? || Where is word empty?,blue || 25 || boat,"blue, 25, boat",blue,0.0,168
current_prompt,264718000,264718,How long is the parking on the street?,12 hours|2 hours|7 spots,2 hours,0.6667,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: How long is the parking on the street? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.0,174
current_prompt,264718001,264718,Do you have to pay to park here?,yes|yes|yes,yes,1.0,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: Do you have to pay to park here? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.0,168
current_prompt,264718002,264718,Which side of the sign is the road on?,right|left|right,both sides,0.0,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: Which side of the sign is the road on? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.125,174
current_prompt,264718003,264718,What does the sign read?,2 hour parking 8am to 8pm|parking|2 hour parking 8am-8pm,no parking,0.0,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: What does the sign read? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.1667,160
current_prompt,264718004,264718,What does the sign say?,parking|2 hour parking|2 hour parking,no parking,0.0,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: What does the sign say? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.1667,159
current_prompt,264718005,264718,What phone number is on the sign?,0|n/a|0,555-1234,0.0,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: What phone number is on the sign? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.1429,169
current_prompt,264718006,264718,What modes of transportation are in the picture?,cars|car|car,cars,1.0,"Q: What color is the curb below the stop sign? A: red
Q: Is there a stop light? A: yes
Q: What is on the picnic table? A: nothing
Q: What modes of transportation are in the picture? A:",What color is the curb below the stop sign? || Is there a stop light? || What is on the picnic table?,red || yes || nothing,"red, yes, nothing",red,0.0,184
