qid,image_id,question,is_yn,gt,baseline,rag_cur,rag_qar,type_router,selector_cur,norm_rag_cur,stacked,candidates_cur,candidates_qar,selector_cur_reason,norm_rag_cur_reason,stacked_pipeline
264718001,264718,Do you have to pay to park here?,True,yes|yes|yes,no,yes,yes,no,yes,yes,no,"red, yes, nothing","red, yes, nothing",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
264718002,264718,Which side of the sign is the road on?,False,right|left|right,on the right,both sides,left,both sides,both sides,both sides,left,"red, yes, nothing","no u-turn, red, yes",raw_rag,no_change,router='left' | selector='left' (raw_rag) | norm='left' (no_change)
264718003,264718,What does the sign read?,False,2 hour parking 8am to 8pm|parking|2 hour parking 8am-8pm,"""No Parking""",no parking,no u-turn,no parking,no parking,no parking,no u-turn,"red, yes, nothing","no u-turn, stop, red",raw_rag,no_change,router='no u-turn' | selector='no u-turn' (raw_rag) | norm='no u-turn' (no_change)
264718004,264718,What does the sign say?,False,parking|2 hour parking|2 hour parking,"""No Parking""",no parking,no u-turn,no parking,no parking,no parking,no u-turn,"red, yes, nothing","no u-turn, stop, red",raw_rag,no_change,router='no u-turn' | selector='no u-turn' (raw_rag) | norm='no u-turn' (no_change)
264718005,264718,What phone number is on the sign?,False,0|n/a|0,phone number is on the sign,555-1234,555-1234,555-1234,555-1234,555-1234,555-1234,"red, yes, nothing","red, yes, nothing",raw_rag,no_change,router='555-1234' | selector='555-1234' (raw_rag) | norm='555-1234' (no_change)
264718006,264718,What modes of transportation are in the picture?,False,cars|car|car,Cars and buses,cars,cars,cars,cars,cars,cars,"red, yes, nothing","red, yes, nothing",raw_rag,no_change,router='cars' | selector='cars' (raw_rag) | norm='cars' (no_change)
264718007,264718,What sign is to the right of the photo?,False,2 hour parking|parking|2 hour parking,parking sign,parking sign,no parking,parking sign,parking sign,parking sign,no parking,"red, yes, nothing","stop, no turn, red",raw_rag,no_change,router='no parking' | selector='no parking' (raw_rag) | norm='no parking' (no_change)
133648000,133648,Is the bat blue?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"5, baseball, 6","5, baseball, 6",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
133648001,133648,Is the photo colored?,True,yes|yes|yes,no,no,no,no,no,no,no,"5, baseball, 6","5, baseball, 6",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133648002,133648,What color is the home plate umpire's shirt?,False,white|black|black,blue,blue,blue,blue,blue,blue,white,"5, baseball, 6","white, standing",raw_rag,no_change,router='blue' | selector='white' (majority>=2) | norm='white' (no_change)
133648003,133648,Which game are they playing?,False,baseball|baseball|baseball,baseball,baseball,baseball,baseball,baseball,baseball,baseball,"5, baseball, 6",baseball,raw_rag,no_change,router='baseball' | selector='baseball' (majority>=2) | norm='baseball' (no_change)
459182000,459182,What are they carrying?,False,surfboards|surfboards|surfboards,surfboard,surfboards,surfboard,surfboards,surfboards,surfboards,surfboard,"no, ocean, surfboards","surfboard, no, ocean",raw_rag,no_change,router='surfboard' | selector='surfboard' (raw_rag) | norm='surfboard' (no_change)
459182001,459182,What is in the foreground?,False,rocks|rocks|rocks,Rocks and water,rocks,rocks,rocks,rocks,rocks,rocks,"no, ocean, surfboards","no, ocean, surfboards",raw_rag,no_change,router='rocks' | selector='rocks' (raw_rag) | norm='rocks' (no_change)
459182002,459182,How many people are there?,False,2|2|2,Two,two,two,two,two,two,two,"no, ocean, surfboards","no, ocean, surfboards",raw_rag,no_change,router='two' | selector='two' (raw_rag) | norm='two' (no_change)
395801000,395801,Is it morning or evening?,True,evening|morning|morning,morning,morning,morning,morning,morning,morning,morning,"white, no, 1","white, no, 1",raw_rag,no_change,router='morning' | selector='morning' (yn_baseline) | norm='morning' (no_change)
395801001,395801,How much does parking in the lot cost?,False,nothing|free|free,$0.00,$5,$5,$5,$5,5,5,"white, no, 1","4, white, no",raw_rag,stripped_punctuation,router='$5' | selector='$5' (raw_rag) | norm='5' (stripped_punctuation)
395801002,395801,What is on the road?,False,car|car|cars,road,road,people,road,road,road,people,"white, no, 1","no, vehicles, yes",raw_rag,no_change,router='people' | selector='people' (raw_rag) | norm='people' (no_change)
395801003,395801,How many people are in the picture?,False,7|7|11,One,2,2,2,2,2,2,"white, no, 1","white, no, 1",raw_rag,no_change,router='2' | selector='2' (raw_rag) | norm='2' (no_change)
395801004,395801,Do the people know each other?,True,no|no|no,yes,yes,yes,yes,yes,yes,yes,"white, no, 1","walking, white, no",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
395801005,395801,How could you carry things if you were riding this bike?,False,there is no bike|on my back|backpack,You can't,you couldn't,you couldn't,you couldn't,you couldn't,you couldn t,you couldn t,"white, no, 1","yellow and white, white, no",raw_rag,stripped_punctuation,"router=""you couldn't"" | selector=""you couldn't"" (raw_rag) | norm='you couldn t' (stripped_punctuation)"
395801006,395801,How many people are in this scene?,False,25|15|9,One,1,1,1,1,1,1,"white, no, 1","white, no, 1",raw_rag,no_change,router='1' | selector='1' (raw_rag) | norm='1' (no_change)
395801007,395801,What time is it?,False,6:00|6:00|12:30,It depends on who you ask,3:30,3:30,3:30,3:30,3 30,3 30,"white, no, 1","white, no, 1",raw_rag,stripped_punctuation,router='3:30' | selector='3:30' (raw_rag) | norm='3 30' (stripped_punctuation)
264730000,264730,How many arches are under the clock?,False,2|2|2,None,3,3,3,3,3,3,"roman, 3, yes","6:00, bell tower, statues",raw_rag,no_change,router='3' | selector='3' (raw_rag) | norm='3' (no_change)
264730001,264730,What time is it?,False,10:50|10:49|8:45,dark outside,night,1:35,night,night,night,1 35,"roman, 3, yes","1:35, 11:43, 4:40",raw_rag,no_change,router='1:35' | selector='1:35' (raw_rag) | norm='1 35' (stripped_punctuation)
264730002,264730,Is a daytime or nighttime scene depicted?,True,nighttime|nighttime|night,yes,daytime,daytime,yes,daytime,daytime,yes,"roman, 3, yes","ground, roman, 3",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
264730003,264730,What kind of numbers are on the clock?,False,roman numerals|roman|roman numerals,numbers on the clock are the numbers on the,roman,6:00,roman,roman,roman,6 00,"roman, 3, yes","6:00, 1:03, 2:55",raw_rag,no_change,router='6:00' | selector='6:00' (raw_rag) | norm='6 00' (stripped_punctuation)
2587000,2587,Which food contains the most potassium?,False,banana|banana|banana,Bananas,donut,donut,donut,donut,donut,donut,"no, donut, 2","no, donut, 2",raw_rag,no_change,router='donut' | selector='donut' (raw_rag) | norm='donut' (no_change)
2587001,2587,What is not healthy in the baggie?,False,donut|doughnut|donut,donut and the banana,donut,donut,donut,donut,donut,donut,"no, donut, 2","no, donut, 2",raw_rag,no_change,router='donut' | selector='donut' (raw_rag) | norm='donut' (no_change)
