qid,image_id,question,gt,is_yes_no,baseline,rag_k1,rag_k3,rag_k5,rag_k10,rag_a05,rag_a00,rag_rerank,eaw,eaw_reason,type_gated,sc_vote
2562001,2562,Are all the men tennis players?,yes|no|no,True,no,yes,yes,yes,yes,no,no,no,yes,raw_rag,no,no
2562002,2562,Is the man wearing a wristband?,yes|yes|yes,True,no,no,yes,yes,yes,yes,yes,yes,yes,raw_rag,no,yes
2562003,2562,What two brands are shown advertised behind the tennis player?,olympus and wta|olympus and wta|wta and olympus,False,Nike and Wilson,Nike and adidas,Nike and Wilson,Nike and Wilson,Nike and Wilson,Nike and Wilson,heb,Nike and Wilson,Nike and Wilson,raw_rag,Nike and Wilson,Nike and Wilson
2562004,2562,What sport is being played?,tennis|tennis|tennis,False,Tennis,tennis,tennis,tennis,tennis,tennis,tennis,tennis,tennis,raw_rag,tennis,tennis
133636000,133636,What is the number on the left parking meter?,12|12|19,False,1,2,1-2-3,1-2-3,1-2-3,0,2,1,1-2-3,raw_rag,1-2-3,1-2-3
133636001,133636,How much time is left?,0 time|expired|0,False,None,3 minutes,30 minutes,30 minutes,30 minutes,5 minutes,5 minutes,2:22,30 minutes,raw_rag,30 minutes,5 minutes
133636002,133636,What number is the parking meter on the right?,13|13|13,False,1,2,2,2,2,2,2,1,2,raw_rag,2,2
133636003,133636,Is there any cars on the street?,no|no|0,True,no,no,yes,yes,yes,yes,yes,no,yes,raw_rag,no,yes
133636004,133636,Are the meters rusted?,no|no|no,True,no,no,no,no,no,no,no,no,no,raw_rag,no,no
133636005,133636,Is there time remaining on the meter?,yes|yes|no,True,yes,yes,yes,yes,yes,yes,yes,yes,yes,raw_rag,yes,yes
133636006,133636,How many meters are there?,2|2|2,False,Two,two,2,2,2,2,2 meters,2,2,raw_rag,2,2
133645000,133645,Is there someone on the bench?,no|no|no,True,no,no,no,no,no,no,no,no,no,raw_rag,no,no
133645001,133645,Are the street lights turned on?,yes|yes|yes,True,yes,yes,yes,yes,yes,no,no,yes,yes,raw_rag,yes,no
133645002,133645,Is the water clear?,no|yes|yes,True,yes,yes,yes,yes,yes,no,no,yes,yes,raw_rag,yes,no
133645003,133645,What type of boat is in the water?,private|sailboat|pontoon,False,motor boat,motor boat,boat,boat,boat,lady gloria,lady gloria,boat,boat,raw_rag,boat,lady gloria
264718000,264718,How long is the parking on the street?,12 hours|2 hours|7 spots,False,2 hours,2 hours,2 hours,2 hours,2 hours,1 hour,1 hour,2 hours,2 hours,raw_rag,2 hours,1 hour
264718001,264718,Do you have to pay to park here?,yes|yes|yes,True,no,no,yes,yes,yes,yes,yes,yes,yes,raw_rag,no,yes
264718002,264718,Which side of the sign is the road on?,right|left|right,False,on the right,right,both sides,both sides,both sides,both sides,no sign,left,both sides,raw_rag,both sides,both sides
264718003,264718,What does the sign read?,2 hour parking 8am to 8pm|parking|2 hour parking 8am-8pm,False,"""No Parking""","""No Parking""",no parking,no parking,no parking,no parking,car park,no u-turn,no parking,raw_rag,no parking,no parking
264718004,264718,What does the sign say?,parking|2 hour parking|2 hour parking,False,"""No Parking""","""No Parking""",no parking,no parking,no parking,@#,don't park here,no u-turn,no parking,raw_rag,no parking,no parking
264718005,264718,What phone number is on the sign?,0|n/a|0,False,phone number is on the sign,555-1234,555-1234,555-1234,555-1234,1-844-844-844,1-844-844-844,555-1234,555-1234,raw_rag,555-1234,1-844-844-844
264718006,264718,What modes of transportation are in the picture?,cars|car|car,False,Cars and buses,busses and cars,cars,cars,cars,"car, bus, train","car, bus, train",cars,cars,raw_rag,cars,"car, bus, train"
264718007,264718,What sign is to the right of the photo?,2 hour parking|parking|2 hour parking,False,parking sign,parking meter,parking sign,parking sign,parking sign,parking,parking,stop sign,parking sign,raw_rag,parking sign,parking
133648000,133648,Is the bat blue?,yes|yes|yes,True,yes,yes,yes,yes,yes,no,no,yes,yes,raw_rag,yes,no
133648001,133648,Is the photo colored?,yes|yes|yes,True,no,no,no,no,no,yes,yes,black and white,no,raw_rag,no,yes
133648002,133648,What color is the home plate umpire's shirt?,white|black|black,False,blue,blue,blue,blue,blue,blue,white,blue,blue,raw_rag,blue,blue
133648003,133648,Which game are they playing?,baseball|baseball|baseball,False,baseball,This one,baseball,baseball,baseball,soccer,soccer,baseball,baseball,raw_rag,baseball,soccer
459182000,459182,What are they carrying?,surfboards|surfboards|surfboards,False,surfboard,surfboards,surfboards,surfboards,surfboards,surfboards,surfboards,surfboards,surfboards,raw_rag,surfboards,surfboards
459182001,459182,What is in the foreground?,rocks|rocks|rocks,False,Rocks and water,rocks,rocks,rocks,rocks,ocean,ocean,rocks,rocks,raw_rag,rocks,ocean
459182002,459182,How many people are there?,2|2|2,False,Two,two,two,two,two,2,2,1,two,raw_rag,two,2
395801000,395801,Is it morning or evening?,evening|morning|morning,True,morning,evening,morning,morning,morning,no,no,morning,morning,raw_rag,morning,no
395801001,395801,How much does parking in the lot cost?,nothing|free|free,False,$0.00,$1.00,$5,$5,$5,$5.00,$5.00,$5,$5,raw_rag,$5,$5.00
395801002,395801,What is on the road?,car|car|cars,False,road,sidewalk,road,road,road,people,cars,parking lot,road,raw_rag,road,road
395801003,395801,How many people are in the picture?,7|7|11,False,One,3,2,2,2,2,2,2,2,raw_rag,2,2
395801004,395801,Do the people know each other?,no|no|no,True,yes,yes,yes,yes,yes,yes,yes,yes,yes,raw_rag,yes,yes
395801005,395801,How could you carry things if you were riding this bike?,there is no bike|on my back|backpack,False,You can't,you could carry them on your back,you couldn't,you couldn't,you couldn't,you could carry things on your back,you could carry things on your back,you couldn't,you couldn't,raw_rag,you couldn't,you could carry things on your back
395801006,395801,How many people are in this scene?,25|15|9,False,One,3,1,1,1,3,3,1,1,raw_rag,1,3
395801007,395801,What time is it?,6:00|6:00|12:30,False,It depends on who you ask,4:30,3:30,3:30,3:30,4:56,4:56,noon,3:30,raw_rag,3:30,4:56
264730000,264730,How many arches are under the clock?,2|2|2,False,None,roman,3,3,3,2,3,3,3,raw_rag,3,3
264730001,264730,What time is it?,10:50|10:49|8:45,False,dark outside,roman,night,night,night,10:30,5:42,7:00,night,raw_rag,night,night
264730002,264730,Is a daytime or nighttime scene depicted?,nighttime|nighttime|night,True,yes,daytime,daytime,daytime,daytime,daytime,daytime,daytime,daytime,raw_rag,yes,daytime
264730003,264730,What kind of numbers are on the clock?,roman numerals|roman|roman numerals,False,numbers on the clock are the numbers on the,roman,roman,roman,roman,roman,roman,roman,roman,raw_rag,roman,roman
2587000,2587,Which food contains the most potassium?,banana|banana|banana,False,Bananas,donut,donut,donut,donut,bananas,bananas,banana,donut,raw_rag,donut,bananas
2587001,2587,What is not healthy in the baggie?,donut|doughnut|donut,False,donut and the banana,donut,donut,donut,donut,donut,donut,donut,donut,raw_rag,donut,donut
